Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,error_message,run_id,time_stamp
TXN_4271903,Cookie,4,1.0,ERROR,Credit Card,In-store,2023-07-19,Validation error: could not convert string to float: 'ERROR',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.098721
TXN_3051279,Sandwich,2,4.0,8.0,Credit Card,Takeaway,ERROR,Validation error: time data 'ERROR' does not match format '%Y-%m-%d',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.101172
TXN_3522028,Smoothie,ERROR,4.0,20.0,Cash,In-store,2023-04-04,Validation error: invalid literal for int() with base 10: 'ERROR',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.102873
TXN_7958992,Smoothie,3,4.0,,UNKNOWN,UNKNOWN,2023-12-13,Validation error: could not convert string to float: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.104151
TXN_7640952,Cake,4,3.0,12.0,Digital Wallet,Takeaway,ERROR,Validation error: time data 'ERROR' does not match format '%Y-%m-%d',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.105068
TXN_8927252,UNKNOWN,2,1.0,ERROR,Credit Card,ERROR,2023-11-06,Validation error: could not convert string to float: 'ERROR',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.105891
TXN_7710508,UNKNOWN,5,1.0,5.0,Cash,,ERROR,Validation error: time data 'ERROR' does not match format '%Y-%m-%d',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.106701
TXN_6650263,Tea,2,1.5,UNKNOWN,,Takeaway,2023-01-10,Validation error: could not convert string to float: 'UNKNOWN',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.107746
TXN_5522862,Cookie,ERROR,1.0,2.0,Credit Card,Takeaway,2023-03-19,Validation error: invalid literal for int() with base 10: 'ERROR',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.108859
TXN_3578141,Cake,5,,15.0,,Takeaway,2023-06-27,Validation error: could not convert string to float: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.109502
TXN_2080895,Cake,UNKNOWN,3.0,3.0,Digital Wallet,In-store,2023-04-19,Validation error: invalid literal for int() with base 10: 'UNKNOWN',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.110138
TXN_4987129,Sandwich,3,,,,In-store,2023-10-20,Validation error: could not convert string to float: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.111056
TXN_8501819,Juice,,3.0,6.0,Cash,,2023-03-30,Validation error: invalid literal for int() with base 10: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.111676
TXN_8427104,Salad,2,ERROR,10.0,,In-store,2023-10-27,Validation error: could not convert string to float: 'ERROR',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.112393
TXN_2091733,Salad,1,5.0,5.0,,In-store,,Validation error: time data '' does not match format '%Y-%m-%d',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.113419
TXN_8735480,Tea,5,1.5,7.5,Cash,,2023-06-02,Total mismatch,91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.115192
TXN_8035512,Tea,3,,4.5,Cash,UNKNOWN,2023-10-29,Validation error: could not convert string to float: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.116426
TXN_6289610,Juice,3,3.0,UNKNOWN,Cash,Takeaway,2023-08-07,Validation error: could not convert string to float: 'UNKNOWN',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.117537
TXN_7028009,Cake,4,3.0,12.0,,Takeaway,ERROR,Validation error: time data 'ERROR' does not match format '%Y-%m-%d',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.118571
TXN_7447872,Juice,2,,6.0,,,,Validation error: could not convert string to float: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.119261
TXN_1001832,Salad,2,5.0,10.0,Cash,Takeaway,UNKNOWN,Validation error: time data 'UNKNOWN' does not match format '%Y-%m-%d',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.120391
TXN_2148617,Juice,ERROR,3.0,9.0,Digital Wallet,UNKNOWN,2023-01-10,Validation error: invalid literal for int() with base 10: 'ERROR',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.121148
TXN_4633784,ERROR,5,,15.0,,In-store,2023-02-06,Validation error: could not convert string to float: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.122111
TXN_2277042,Tea,1,1.5,1.5,Cash,,2023-04-08,Total mismatch,91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.123572
TXN_9273729,Tea,1,1.5,1.5,,,2023-12-19,Total mismatch,91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.124291
TXN_8700451,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-12-12,Total mismatch,91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.125201
TXN_4878378,Tea,1,1.5,1.5,Credit Card,,2023-02-20,Total mismatch,91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.126074
TXN_2484241,Cake,3,UNKNOWN,9.0,Digital Wallet,,2023-07-19,Validation error: could not convert string to float: 'UNKNOWN',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.126796
TXN_7943008,Coffee,1,2.0,2.0,Credit Card,,ERROR,Validation error: time data 'ERROR' does not match format '%Y-%m-%d',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.127626
TXN_8495063,Juice,1,3.0,UNKNOWN,Cash,,2023-05-31,Validation error: could not convert string to float: 'UNKNOWN',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.128339
TXN_8729570,Tea,5,1.5,7.5,UNKNOWN,In-store,2023-09-03,Total mismatch,91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.129127
TXN_7623634,Cake,2,3.0,,Credit Card,In-store,2023-07-11,Validation error: could not convert string to float: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.129871
TXN_9336980,Salad,4,UNKNOWN,20.0,Cash,In-store,2023-06-06,Validation error: could not convert string to float: 'UNKNOWN',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.130535
TXN_4031509,,4,,16.0,Credit Card,Takeaway,2023-01-04,Validation error: could not convert string to float: '',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.131675
TXN_6541415,UNKNOWN,UNKNOWN,3.0,12.0,Cash,In-store,2023-11-25,Validation error: invalid literal for int() with base 10: 'UNKNOWN',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.132648
TXN_1093800,Sandwich,3,4.0,12.0,Cash,Takeaway,,Validation error: time data '' does not match format '%Y-%m-%d',91f352f7-4c2e-4bd5-b431-01c777c8edaa,2026-03-05T16:13:30.133906
